,test_y
0,53350
1,67500
2,66650
3,69150
4,67500
5,71650
6,69150
7,70400
8,60850
9,59600
10,59600
11,56650
12,67100
13,64600
14,62100
15,62900
16,60400
17,60000
18,58750
19,57900
20,57500
21,58350
22,59150
23,61650
24,65000
25,66650
26,60850
27,58350
28,58350
29,52100
30,65000
31,50850
32,41250
33,34600
34,31650
35,33500
36,33750
37,32100
38,32100
39,32100
40,32100
41,37900
42,37100
43,34150
44,34150
45,31650
46,31650
47,32100
48,30400
49,29150
50,28750
51,28750
52,30400
53,32000
54,37500
55,38350
56,39150
57,41650
58,40000
59,40250
60,41250
61,44850
62,45650
63,50000
64,50000
65,52500
66,49150
67,49150
